"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"dp",0.1,0.178571428571429,0.92,0.148148148148148,0.92
1,"rank",0.1,0.314285714285714,0.96,0.25,0.96
1,"bhq",0.1,0,0,0,0.44
1,"dp",0.2,0.225806451612903,0.96,0.225806451612903,0.96
1,"rank",0.2,0.4,0.96,0.4,0.96
1,"bhq",0.2,0,0,0,0.52
1,"dp",0.3,0.314285714285714,0.96,0.272727272727273,0.96
1,"rank",0.3,0.414634146341463,0.96,0.4,0.96
1,"bhq",0.3,0,0,0,0.52
2,"dp",0.1,0.130434782608696,0.8,0.130434782608696,0.8
2,"rank",0.1,0.378378378378378,0.92,0.258064516129032,0.92
2,"bhq",0.1,0,0,0,0.8
2,"dp",0.2,0.258064516129032,0.92,0.266666666666667,0.88
2,"rank",0.2,0.488888888888889,0.92,0.488888888888889,0.92
2,"bhq",0.2,0,0,0,0.84
2,"dp",0.3,0.303030303030303,0.92,0.303030303030303,0.92
2,"rank",0.3,0.52,0.96,0.52,0.96
2,"bhq",0.3,0,0,0,0.84
3,"dp",0.1,0.225806451612903,0.96,0.142857142857143,0.96
3,"rank",0.1,0.242424242424242,1,0.0833333333333333,0.88
3,"bhq",0.1,0,0,0.0769230769230769,0.96
3,"dp",0.2,0.314285714285714,0.96,0.314285714285714,0.96
3,"rank",0.2,0.305555555555556,1,0.305555555555556,1
3,"bhq",0.2,0,0,0.0769230769230769,0.96
3,"dp",0.3,0.428571428571429,0.96,0.368421052631579,0.96
3,"rank",0.3,0.390243902439024,1,0.358974358974359,1
3,"bhq",0.3,0,0,0.111111111111111,0.96
4,"dp",0.1,0.0833333333333333,0.88,0.0833333333333333,0.88
4,"rank",0.1,0.258064516129032,0.92,0.258064516129032,0.92
4,"bhq",0.1,0,0,0,0.88
4,"dp",0.2,0.241379310344828,0.88,0.214285714285714,0.88
4,"rank",0.2,0.303030303030303,0.92,0.28125,0.92
4,"bhq",0.2,0,0,0.0416666666666667,0.92
4,"dp",0.3,0.266666666666667,0.88,0.266666666666667,0.88
4,"rank",0.3,0.368421052631579,0.96,0.368421052631579,0.96
4,"bhq",0.3,0,0,0.0416666666666667,0.92
5,"dp",0.1,0.0384615384615385,1,0,1
5,"rank",0.1,0,0.92,0,0.88
5,"bhq",0.1,0,0,0.264705882352941,1
5,"dp",0.2,0.193548387096774,1,0.0384615384615385,1
5,"rank",0.2,0.08,0.92,0.08,0.92
5,"bhq",0.2,0,0,0.390243902439024,1
5,"dp",0.3,0.375,1,0.21875,1
5,"rank",0.3,0.115384615384615,0.92,0.08,0.92
5,"bhq",0.3,0,0,0.404761904761905,1
6,"dp",0.1,0.2,0.8,0.166666666666667,0.8
6,"rank",0.1,0.411764705882353,0.8,0.375,0.8
6,"bhq",0.1,0,0,0.0869565217391304,0.84
6,"dp",0.2,0.4,0.84,0.3,0.84
6,"rank",0.2,0.545454545454545,0.8,0.545454545454545,0.8
6,"bhq",0.2,0,0,0.12,0.88
6,"dp",0.3,0.5625,0.84,0.432432432432432,0.84
6,"rank",0.3,0.574468085106383,0.8,0.574468085106383,0.8
6,"bhq",0.3,0,0,0.178571428571429,0.92
7,"dp",0.1,0.241379310344828,0.88,0.214285714285714,0.88
7,"rank",0.1,0.142857142857143,0.96,0.148148148148148,0.92
7,"bhq",0.1,0,0,0.115384615384615,0.92
7,"dp",0.2,0.3125,0.88,0.3125,0.88
7,"rank",0.2,0.225806451612903,0.96,0.225806451612903,0.96
7,"bhq",0.2,0,0,0.148148148148148,0.92
7,"dp",0.3,0.394736842105263,0.92,0.378378378378378,0.92
7,"rank",0.3,0.314285714285714,0.96,0.25,0.96
7,"bhq",0.3,0,0,0.258064516129032,0.92
8,"dp",0.1,0.172413793103448,0.96,0.111111111111111,0.96
8,"rank",0.1,0.0740740740740741,1,0,1
8,"bhq",0.1,0,0,0.0740740740740741,1
8,"dp",0.2,0.242424242424242,1,0.193548387096774,1
8,"rank",0.2,0.107142857142857,1,0.0740740740740741,1
8,"bhq",0.2,0,0,0.0740740740740741,1
8,"dp",0.3,0.404761904761905,1,0.404761904761905,1
8,"rank",0.3,0.390243902439024,1,0.342105263157895,1
8,"bhq",0.3,0,0,0.166666666666667,1
9,"dp",0.1,0.25,0.96,0.225806451612903,0.96
