"Method","Q_Value","p","fdr","power"
"BHq",0.1,400,0.0380383017808213,0.8248
"DP",0.1,400,0.131444040640045,0.9212
"DP+",0.1,400,0.094901778856165,0.8984
"Rank",0.1,400,0.14267116116328,0.9332
"Rank+",0.1,400,0.104719936378174,0.9136
"BHq",0.2,400,0.0540913535523924,0.862
"DP",0.2,400,0.229339123748615,0.9456
"DP+",0.2,400,0.191960822800957,0.9384
"Rank",0.2,400,0.255376557822699,0.9496
"Rank+",0.2,400,0.226763339714799,0.9456
"BHq",0.3,400,0.0707043075915591,0.88
"DP",0.3,400,0.319904035801108,0.9592
"DP+",0.3,400,0.292648384768362,0.9544
"Rank",0.3,400,0.348794244685014,0.9596
"Rank+",0.3,400,0.319667525624533,0.9564
