"Method","Q_Value","p","fdr","power"
"BHq",0.1,600,0.0980404879,0.8668
"DP",0.1,600,0.14148233996,0.894
"DP+",0.1,600,0.09624715578,0.8744
"Rank",0.1,600,0.18815462932,0.894
"Rank+",0.1,600,0.13839757454,0.8736
"BHq",0.2,600,0.12747830503,0.8904
"DP",0.2,600,0.22981387096,0.9208
"DP+",0.2,600,0.2066841512,0.9152
"Rank",0.2,600,0.29183821185,0.9184
"Rank+",0.2,600,0.26013837312,0.912
"BHq",0.3,600,0.15152326443,0.904
"DP",0.3,600,0.33013733896,0.936
"DP+",0.3,600,0.30448653914,0.9328
"Rank",0.3,600,0.38037747806,0.9384
"Rank+",0.3,600,0.35269404294,0.93
