"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"dp",0.1,0.111111111,0.96,0.041666667,0.92
1,"rank",0.1,0.242424242,1,0.193548387,1
1,"bhq",0.1,0,0,0.074074074,1
1,"dp",0.2,0.111111111,0.96,0.111111111,0.96
1,"rank",0.2,0.242424242,1,0.242424242,1
1,"bhq",0.2,0,0,0.137931034,1
1,"dp",0.3,0.25,0.96,0.25,0.96
1,"rank",0.3,0.390243902,1,0.358974359,1
1,"bhq",0.3,0,0,0.137931034,1
2,"dp",0.1,0.148148148,0.92,0.148148148,0.92
2,"rank",0.1,0.107142857,1,0.107142857,1
2,"bhq",0.1,0,0,0.115384615,0.92
2,"dp",0.2,0.305555556,1,0.2,0.96
2,"rank",0.2,0.21875,1,0.107142857,1
2,"bhq",0.2,0,0,0.115384615,0.92
2,"dp",0.3,0.342105263,1,0.342105263,1
2,"rank",0.3,0.468085106,1,0.468085106,1
2,"bhq",0.3,0,0,0.142857143,0.96
3,"dp",0.1,0.090909091,0.8,0.090909091,0.8
3,"rank",0.1,0,0.84,0,0.8
3,"bhq",0.1,0,0,0,0.76
3,"dp",0.2,0.258064516,0.92,0.258064516,0.92
3,"rank",0.2,0.086956522,0.84,0.086956522,0.84
3,"bhq",0.2,0,0,0,0.76
3,"dp",0.3,0.378378378,0.92,0.361111111,0.92
3,"rank",0.3,0.421052632,0.88,0.214285714,0.88
3,"bhq",0.3,0,0,0,0.8
4,"dp",0.1,0.111111111,0.96,0,0.8
4,"rank",0.1,0,0.76,0,0.72
4,"bhq",0.1,0,0,0.193548387,1
4,"dp",0.2,0.111111111,0.96,0.111111111,0.96
4,"rank",0.2,0.148148148,0.92,0.148148148,0.92
4,"bhq",0.2,0,0,0.264705882,1
4,"dp",0.3,0.142857143,0.96,0.111111111,0.96
4,"rank",0.3,0.206896552,0.92,0.178571429,0.92
4,"bhq",0.3,0,0,0.264705882,1
5,"dp",0.1,0.137931034,1,0.074074074,1
5,"rank",0.1,0.166666667,1,0.107142857,1
5,"bhq",0.1,0,0,0.305555556,1
5,"dp",0.2,0.166666667,1,0.166666667,1
5,"rank",0.2,0.285714286,1,0.285714286,1
5,"bhq",0.2,0,0,0.342105263,1
5,"dp",0.3,0.285714286,1,0.166666667,1
5,"rank",0.3,0.375,1,0.358974359,1
5,"bhq",0.3,0,0,0.404761905,1
6,"dp",0.1,0.208333333,0.76,0.208333333,0.76
6,"rank",0.1,0.166666667,0.8,0.166666667,0.8
6,"bhq",0.1,0,0,0,0.52
6,"dp",0.2,0.321428571,0.76,0.269230769,0.76
6,"rank",0.2,0.259259259,0.8,0.230769231,0.8
6,"bhq",0.2,0,0,0.066666667,0.56
6,"dp",0.3,0.387096774,0.76,0.366666667,0.76
6,"rank",0.3,0.371428571,0.88,0.3125,0.88
6,"bhq",0.3,0,0,0.066666667,0.56
7,"dp",0.1,0.08,0.92,0.043478261,0.88
7,"rank",0.1,0.16,0.84,0.1,0.72
7,"bhq",0.1,0,0,0.333333333,0.96
7,"dp",0.2,0.076923077,0.96,0.076923077,0.96
7,"rank",0.2,0.25,0.84,0.222222222,0.84
7,"bhq",0.2,0,0,0.4,0.96
7,"dp",0.3,0.384615385,0.96,0.351351351,0.96
7,"rank",0.3,0.323529412,0.92,0.323529412,0.92
7,"bhq",0.3,0,0,0.4,0.96
8,"dp",0.1,0.157894737,0.64,0.111111111,0.64
8,"rank",0.1,0.266666667,0.88,0.192307692,0.84
8,"bhq",0.1,0,0,0,0.64
8,"dp",0.2,0.130434783,0.8,0.142857143,0.72
8,"rank",0.2,0.421052632,0.88,0.405405405,0.88
8,"bhq",0.2,0,0,0,0.64
8,"dp",0.3,0.2,0.8,0.130434783,0.8
8,"rank",0.3,0.463414634,0.88,0.45,0.88
8,"bhq",0.3,0,0,0,0.64
9,"dp",0.1,0.242424242,1,0.242424242,1
9,"rank",0.1,0.166666667,1,0.074074074,1
9,"bhq",0.1,0,0,0,1
9,"dp",0.2,0.390243902,1,0.285714286,1
9,"rank",0.2,0.21875,1,0.21875,1
9,"bhq",0.2,0,0,0,1
9,"dp",0.3,0.444444444,1,0.444444444,1
9,"rank",0.3,0.324324324,1,0.242424242,1
9,"bhq",0.3,0,0,0,1
10,"dp",0.1,0.045454545,0.84,0.045454545,0.84
