"Method","Q_Value","p","fdr","power"
"BHq",0.1,260,0.0144965296606492,0.912
"DP",0.1,260,0.12869529916702,0.9508
"DP+",0.1,260,0.0899045674369059,0.9436
"Rank",0.1,260,0.14726366640723,0.958
"Rank+",0.1,260,0.116584612873435,0.9484
"BHq",0.2,260,0.0268021451840082,0.9424
"DP",0.2,260,0.226784271189914,0.964
"DP+",0.2,260,0.1930567082343,0.9596
"Rank",0.2,260,0.256236864483484,0.9724
"Rank+",0.2,260,0.219509778128819,0.97
"BHq",0.3,260,0.0393218184962149,0.9564
"DP",0.3,260,0.325306909558882,0.9704
"DP+",0.3,260,0.306009036375945,0.9692
"Rank",0.3,260,0.338766712276926,0.9792
"Rank+",0.3,260,0.320932393924659,0.978
