"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"dp",0.1,0.0833333333333333,0.88,0.0833333333333333,0.88
1,"rank",0.1,0.148148148148148,0.92,0.0434782608695652,0.88
1,"bhq",0.1,0,0,0,0.92
1,"dp",0.2,0.214285714285714,0.88,0.185185185185185,0.88
1,"rank",0.2,0.294117647058824,0.96,0.25,0.96
1,"bhq",0.2,0,0,0,1
1,"dp",0.3,0.371428571428571,0.88,0.352941176470588,0.88
1,"rank",0.3,0.4,0.96,0.368421052631579,0.96
1,"bhq",0.3,0,0,0.0384615384615385,1
2,"dp",0.1,0.242424242424242,1,0.225806451612903,0.96
2,"rank",0.1,0.0740740740740741,1,0.0740740740740741,1
2,"bhq",0.1,0,0,0,0.72
2,"dp",0.2,0.375,1,0.358974358974359,1
2,"rank",0.2,0.166666666666667,1,0.107142857142857,1
2,"bhq",0.2,0,0,0,0.84
2,"dp",0.3,0.404761904761905,1,0.404761904761905,1
2,"rank",0.3,0.166666666666667,1,0.166666666666667,1
2,"bhq",0.3,0,0,0,0.88
3,"dp",0.1,0.242424242424242,1,0.193548387096774,1
3,"rank",0.1,0.08,0.92,0.0434782608695652,0.88
3,"bhq",0.1,0,0,0,0.84
3,"dp",0.2,0.264705882352941,1,0.242424242424242,1
3,"rank",0.2,0.418604651162791,1,0.418604651162791,1
3,"bhq",0.2,0,0,0,0.96
3,"dp",0.3,0.324324324324324,1,0.264705882352941,1
3,"rank",0.3,0.489795918367347,1,0.489795918367347,1
3,"bhq",0.3,0,0,0,0.96
4,"dp",0.1,0.0416666666666667,0.92,0.0416666666666667,0.92
4,"rank",0.1,0.166666666666667,1,0.137931034482759,1
4,"bhq",0.1,0,0,0,0.84
4,"dp",0.2,0.166666666666667,1,0.0769230769230769,0.96
4,"rank",0.2,0.305555555555556,1,0.305555555555556,1
4,"bhq",0.2,0,0,0,0.88
4,"dp",0.3,0.193548387096774,1,0.193548387096774,1
4,"rank",0.3,0.305555555555556,1,0.305555555555556,1
4,"bhq",0.3,0,0,0,0.88
5,"dp",0.1,0.148148148148148,0.92,0.115384615384615,0.92
5,"rank",0.1,0.148148148148148,0.92,0.148148148148148,0.92
5,"bhq",0.1,0,0,0,0.96
5,"dp",0.2,0.206896551724138,0.92,0.178571428571429,0.92
5,"rank",0.2,0.414634146341463,0.96,0.233333333333333,0.92
5,"bhq",0.2,0,0,0,1
5,"dp",0.3,0.258064516129032,0.92,0.233333333333333,0.92
5,"rank",0.3,0.428571428571429,0.96,0.428571428571429,0.96
5,"bhq",0.3,0,0,0.0384615384615385,1
6,"dp",0.1,0.242424242424242,1,0.166666666666667,1
6,"rank",0.1,0.2,0.96,0.2,0.96
6,"bhq",0.1,0,0,0,0.72
6,"dp",0.2,0.242424242424242,1,0.242424242424242,1
6,"rank",0.2,0.225806451612903,0.96,0.225806451612903,0.96
6,"bhq",0.2,0,0,0,0.84
6,"dp",0.3,0.305555555555556,1,0.305555555555556,1
6,"rank",0.3,0.351351351351351,0.96,0.294117647058824,0.96
6,"bhq",0.3,0,0,0,0.84
7,"dp",0.1,0.148148148148148,0.92,0.08,0.92
7,"rank",0.1,0.25,0.96,0.25,0.96
7,"bhq",0.1,0,0,0,0.88
7,"dp",0.2,0.351351351351351,0.96,0.2,0.96
7,"rank",0.2,0.25,0.96,0.25,0.96
7,"bhq",0.2,0,0,0,0.92
7,"dp",0.3,0.431818181818182,1,0.375,1
7,"rank",0.3,0.314285714285714,0.96,0.314285714285714,0.96
7,"bhq",0.3,0,0,0,1
8,"dp",0.1,0.0740740740740741,1,0.0384615384615385,1
8,"rank",0.1,0.0769230769230769,0.96,0.0769230769230769,0.96
8,"bhq",0.1,0,0,0,0.8
8,"dp",0.2,0.305555555555556,1,0.242424242424242,1
8,"rank",0.2,0.285714285714286,1,0.166666666666667,1
8,"bhq",0.2,0,0,0,0.88
8,"dp",0.3,0.418604651162791,1,0.358974358974359,1
8,"rank",0.3,0.324324324324324,1,0.305555555555556,1
8,"bhq",0.3,0,0,0,0.88
9,"dp",0.1,0.166666666666667,1,0.04,0.96
9,"rank",0.1,0.0740740740740741,1,0.0740740740740741,1
9,"bhq",0.1,0,0,0.137931034482759,1
9,"dp",0.2,0.418604651162791,1,0.285714285714286,1
9,"rank",0.2,0.166666666666667,1,0.166666666666667,1
9,"bhq",0.2,0,0,0.193548387096774,1
9,"dp",0.3,0.468085106382979,1,0.468085106382979,1
9,"rank",0.3,0.431818181818182,1,0.404761904761905,1
9,"bhq",0.3,0,0,0.193548387096774,1
10,"dp",0.1,0.172413793103448,0.96,0.08,0.92
10,"rank",0.1,0.225806451612903,0.96,0.08,0.92
10,"bhq",0.1,0,0,0,0.72
10,"dp",0.2,0.225806451612903,0.96,0.2,0.96
10,"rank",0.2,0.314285714285714,0.96,0.314285714285714,0.96
10,"bhq",0.2,0,0,0,0.8
10,"dp",0.3,0.225806451612903,0.96,0.225806451612903,0.96
10,"rank",0.3,0.5,0.96,0.5,0.96
10,"bhq",0.3,0,0,0,0.84
11,"dp",0.1,0,1,0,1
11,"rank",0.1,0.166666666666667,1,0,1
11,"bhq",0.1,0,0,0,0.84
11,"dp",0.2,0.0740740740740741,1,0.0384615384615385,1
11,"rank",0.2,0.264705882352941,1,0.21875,1
11,"bhq",0.2,0,0,0,0.96
