"Method","Q_Value","p","fdr","power"
"BHq",0.1,220,0.013031365696883,0.8812
"DP",0.1,220,0.137451069682742,0.9596
"DP+",0.1,220,0.103460967196102,0.9484
"Rank",0.1,220,0.157733287374031,0.9632
"Rank+",0.1,220,0.113495878658537,0.956
"BHq",0.2,220,0.0230206286778517,0.9208
"DP",0.2,220,0.237491187001597,0.9748
"DP+",0.2,220,0.206062261829944,0.9728
"Rank",0.2,220,0.264554721551821,0.9732
"Rank+",0.2,220,0.229486359525974,0.9708
"BHq",0.3,220,0.0306898747899335,0.9408
"DP",0.3,220,0.342708138242623,0.9816
"DP+",0.3,220,0.31390145970968,0.9792
"Rank",0.3,220,0.354730074566742,0.9808
"Rank+",0.3,220,0.330597921631763,0.9784
