"Method","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power"
"BHq",140,0.00671411551411551,0.9096,180,0.0144916320753257,0.9204,220,0.0230206286778517,0.9208,260,0.0268021451840082,0.9424,300,0.0422439231189231,0.9232
"Rank",140,0.239396906810593,0.9808,180,0.277834199749664,0.9756,220,0.264554721551821,0.9732,260,0.256236864483484,0.9724,300,0.264102560294951,0.9676
"Rank+",140,0.2132424011648,0.9796,180,0.248088552646834,0.974,220,0.229486359525974,0.9708,260,0.219509778128819,0.97,300,0.230201998595021,0.964
"DP",140,0.226563750266711,0.9784,180,0.234132901970645,0.972,220,0.237491187001597,0.9748,260,0.226784271189914,0.964,300,0.222505884989045,0.9612
"DP+",140,0.195765408015415,0.9744,180,0.197248267349093,0.9696,220,0.206062261829944,0.9728,260,0.1930567082343,0.9596,300,0.198697348426838,0.9588
