"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"rank",0.1,0.0769230769230769,0.96,0.0769230769230769,0.96
1,"bhq",0.1,0,0,0,0.92
1,"dp",0.1,0.04,0.96,0.04,0.96
1,"rank",0.2,0.333333333333333,0.96,0.111111111111111,0.96
1,"bhq",0.2,0,0,0,0.92
1,"dp",0.2,0.04,0.96,0.04,0.96
1,"rank",0.3,0.368421052631579,0.96,0.351351351351351,0.96
1,"bhq",0.3,0,0,0,0.92
1,"dp",0.3,0.111111111111111,0.96,0.0769230769230769,0.96
2,"rank",0.1,0.333333333333333,0.96,0.342857142857143,0.92
2,"bhq",0.1,0,0,0,0.84
2,"dp",0.1,0.172413793103448,0.96,0.142857142857143,0.96
2,"rank",0.2,0.351351351351351,0.96,0.351351351351351,0.96
2,"bhq",0.2,0,0,0,0.88
2,"dp",0.2,0.294117647058824,0.96,0.225806451612903,0.96
2,"rank",0.3,0.368421052631579,0.96,0.368421052631579,0.96
2,"bhq",0.3,0,0,0,0.92
2,"dp",0.3,0.390243902439024,1,0.358974358974359,1
3,"rank",0.1,0.111111111111111,0.96,0.08,0.92
3,"bhq",0.1,0,0,0,0.96
3,"dp",0.1,0.137931034482759,1,0.107142857142857,1
3,"rank",0.2,0.111111111111111,0.96,0.111111111111111,0.96
3,"bhq",0.2,0,0,0,0.96
3,"dp",0.2,0.137931034482759,1,0.137931034482759,1
3,"rank",0.3,0.264705882352941,1,0.242424242424242,1
3,"bhq",0.3,0,0,0,0.96
3,"dp",0.3,0.166666666666667,1,0.166666666666667,1
4,"rank",0.1,0.233333333333333,0.92,0.233333333333333,0.92
4,"bhq",0.1,0,0,0,0.88
4,"dp",0.1,0.148148148148148,0.92,0.153846153846154,0.88
4,"rank",0.2,0.439024390243902,0.92,0.361111111111111,0.92
4,"bhq",0.2,0,0,0,0.88
4,"dp",0.2,0.206896551724138,0.92,0.178571428571429,0.92
4,"rank",0.3,0.52,0.96,0.52,0.96
4,"bhq",0.3,0,0,0,0.88
4,"dp",0.3,0.233333333333333,0.92,0.206896551724138,0.92
5,"rank",0.1,0.193548387096774,1,0.166666666666667,1
5,"bhq",0.1,0,0,0,1
5,"dp",0.1,0.0769230769230769,0.96,0.0769230769230769,0.96
5,"rank",0.2,0.242424242424242,1,0.21875,1
5,"bhq",0.2,0,0,0.0384615384615385,1
5,"dp",0.2,0.242424242424242,1,0.0769230769230769,0.96
5,"rank",0.3,0.358974358974359,1,0.324324324324324,1
5,"bhq",0.3,0,0,0.0740740740740741,1
5,"dp",0.3,0.390243902439024,1,0.285714285714286,1
6,"rank",0.1,0.107142857142857,1,0.0384615384615385,1
6,"bhq",0.1,0,0,0,1
6,"dp",0.1,0.0384615384615385,1,0.0384615384615385,1
6,"rank",0.2,0.166666666666667,1,0.166666666666667,1
6,"bhq",0.2,0,0,0,1
6,"dp",0.2,0.0740740740740741,1,0.0740740740740741,1
6,"rank",0.3,0.242424242424242,1,0.21875,1
6,"bhq",0.3,0,0,0,1
6,"dp",0.3,0.264705882352941,1,0.264705882352941,1
7,"rank",0.1,0.166666666666667,1,0.04,0.96
7,"bhq",0.1,0,0,0,0.96
7,"dp",0.1,0.111111111111111,0.96,0.111111111111111,0.96
7,"rank",0.2,0.305555555555556,1,0.21875,1
7,"bhq",0.2,0,0,0,1
7,"dp",0.2,0.166666666666667,1,0.166666666666667,1
7,"rank",0.3,0.358974358974359,1,0.324324324324324,1
7,"bhq",0.3,0,0,0,1
7,"dp",0.3,0.193548387096774,1,0.193548387096774,1
8,"rank",0.1,0.264705882352941,1,0.264705882352941,1
8,"bhq",0.1,0,0,0.142857142857143,0.96
8,"dp",0.1,0.272727272727273,0.96,0.2,0.96
8,"rank",0.2,0.545454545454545,1,0.5,1
8,"bhq",0.2,0,0,0.193548387096774,1
8,"dp",0.2,0.428571428571429,0.96,0.414634146341463,0.96
8,"rank",0.3,0.576271186440678,1,0.576271186440678,1
8,"bhq",0.3,0,0,0.21875,1
8,"dp",0.3,0.48936170212766,0.96,0.428571428571429,0.96
9,"rank",0.1,0.0833333333333333,0.88,0.0434782608695652,0.88
9,"bhq",0.1,0,0,0,0.88
9,"dp",0.1,0.04,0.96,0.04,0.96
9,"rank",0.2,0.178571428571429,0.92,0.178571428571429,0.92
9,"bhq",0.2,0,0,0,0.96
9,"dp",0.2,0.166666666666667,1,0.166666666666667,1
9,"rank",0.3,0.178571428571429,0.92,0.178571428571429,0.92
9,"bhq",0.3,0,0,0,0.96
9,"dp",0.3,0.418604651162791,1,0.418604651162791,1
10,"rank",0.1,0.0769230769230769,0.96,0.04,0.96
10,"bhq",0.1,0,0,0.0740740740740741,1
10,"dp",0.1,0.137931034482759,1,0.0740740740740741,1
10,"rank",0.2,0.172413793103448,0.96,0.172413793103448,0.96
10,"bhq",0.2,0,0,0.0740740740740741,1
10,"dp",0.2,0.305555555555556,1,0.264705882352941,1
10,"rank",0.3,0.375,1,0.375,1
10,"bhq",0.3,0,0,0.0740740740740741,1
10,"dp",0.3,0.342105263157895,1,0.342105263157895,1
11,"rank",0.1,0.0384615384615385,1,0.0384615384615385,1
11,"bhq",0.1,0,0,0,1
11,"dp",0.1,0.0416666666666667,0.92,0.0416666666666667,0.92
11,"rank",0.2,0.0740740740740741,1,0.0740740740740741,1
11,"bhq",0.2,0,0,0,1
11,"dp",0.2,0.148148148148148,0.92,0.148148148148148,0.92
11,"rank",0.3,0.242424242424242,1,0.107142857142857,1
11,"bhq",0.3,0,0,0,1
11,"dp",0.3,0.428571428571429,0.96,0.428571428571429,0.96
12,"rank",0.1,0.0740740740740741,1,0,1
12,"bhq",0.1,0,0,0,0.92
12,"dp",0.1,0.0384615384615385,1,0,0.96
12,"rank",0.2,0.264705882352941,1,0.242424242424242,1
12,"bhq",0.2,0,0,0,0.96
12,"dp",0.2,0.285714285714286,1,0.21875,1
12,"rank",0.3,0.537037037037037,1,0.537037037037037,1
12,"bhq",0.3,0,0,0,1
12,"dp",0.3,0.537037037037037,1,0.537037037037037,1
13,"rank",0.1,0.0384615384615385,1,0.04,0.96
13,"bhq",0.1,0,0,0,0.88
13,"dp",0.1,0.0434782608695652,0.88,0,0.84
13,"rank",0.2,0.193548387096774,1,0.193548387096774,1
13,"bhq",0.2,0,0,0,0.92
13,"dp",0.2,0.153846153846154,0.88,0.0434782608695652,0.88
13,"rank",0.3,0.285714285714286,1,0.264705882352941,1
13,"bhq",0.3,0,0,0,0.92
13,"dp",0.3,0.214285714285714,0.88,0.214285714285714,0.88
14,"rank",0.1,0.225806451612903,0.96,0.172413793103448,0.96
14,"bhq",0.1,0,0,0,0.96
14,"dp",0.1,0.2,0.96,0.0434782608695652,0.88
14,"rank",0.2,0.333333333333333,0.96,0.333333333333333,0.96
14,"bhq",0.2,0,0,0,0.96
14,"dp",0.2,0.285714285714286,1,0.264705882352941,1
14,"rank",0.3,0.414634146341463,0.96,0.4,0.96
14,"bhq",0.3,0,0,0,0.96
14,"dp",0.3,0.305555555555556,1,0.285714285714286,1
15,"rank",0.1,0.04,0.96,0,0.96
15,"bhq",0.1,0,0,0,0.96
15,"dp",0.1,0.0740740740740741,1,0,1
15,"rank",0.2,0.0769230769230769,0.96,0.0769230769230769,0.96
15,"bhq",0.2,0,0,0,0.96
15,"dp",0.2,0.375,1,0.375,1
15,"rank",0.3,0.107142857142857,1,0.107142857142857,1
15,"bhq",0.3,0,0,0,0.96
15,"dp",0.3,0.444444444444444,1,0.404761904761905,1
16,"rank",0.1,0.148148148148148,0.92,0.148148148148148,0.92
16,"bhq",0.1,0,0,0.0740740740740741,1
16,"dp",0.1,0.2,0.96,0.2,0.96
16,"rank",0.2,0.314285714285714,0.96,0.314285714285714,0.96
16,"bhq",0.2,0,0,0.0740740740740741,1
16,"dp",0.2,0.333333333333333,0.96,0.333333333333333,0.96
16,"rank",0.3,0.4,0.96,0.4,0.96
16,"bhq",0.3,0,0,0.0740740740740741,1
16,"dp",0.3,0.384615384615385,0.96,0.351351351351351,0.96
17,"rank",0.1,0.193548387096774,1,0.166666666666667,1
17,"bhq",0.1,0,0,0,0.92
17,"dp",0.1,0.111111111111111,0.96,0.111111111111111,0.96
17,"rank",0.2,0.404761904761905,1,0.375,1
17,"bhq",0.2,0,0,0,0.96
17,"dp",0.2,0.2,0.96,0.142857142857143,0.96
17,"rank",0.3,0.444444444444444,1,0.444444444444444,1
17,"bhq",0.3,0,0,0,0.96
17,"dp",0.3,0.314285714285714,0.96,0.314285714285714,0.96
18,"rank",0.1,0.08,0.92,0.0416666666666667,0.92
18,"bhq",0.1,0,0,0.04,0.96
18,"dp",0.1,0.111111111111111,0.96,0.0769230769230769,0.96
18,"rank",0.2,0.111111111111111,0.96,0.0769230769230769,0.96
18,"bhq",0.2,0,0,0.111111111111111,0.96
18,"dp",0.2,0.142857142857143,0.96,0.142857142857143,0.96
18,"rank",0.3,0.25,0.96,0.225806451612903,0.96
18,"bhq",0.3,0,0,0.137931034482759,1
18,"dp",0.3,0.225806451612903,0.96,0.225806451612903,0.96
19,"rank",0.1,0.242424242424242,1,0.242424242424242,1
19,"bhq",0.1,0,0,0,0.96
19,"dp",0.1,0.08,0.92,0,0.92
19,"rank",0.2,0.264705882352941,1,0.242424242424242,1
19,"bhq",0.2,0,0,0,0.96
19,"dp",0.2,0.206896551724138,0.92,0.148148148148148,0.92
19,"rank",0.3,0.418604651162791,1,0.390243902439024,1
19,"bhq",0.3,0,0,0,0.96
19,"dp",0.3,0.465116279069767,0.92,0.378378378378378,0.92
20,"rank",0.1,0.04,0.96,0,0.96
20,"bhq",0.1,0,0,0,0.92
20,"dp",0.1,0.166666666666667,1,0,0.96
20,"rank",0.2,0.333333333333333,0.96,0.04,0.96
20,"bhq",0.2,0,0,0,0.92
20,"dp",0.2,0.305555555555556,1,0.305555555555556,1
20,"rank",0.3,0.428571428571429,0.96,0.4,0.96
20,"bhq",0.3,0,0,0,1
20,"dp",0.3,0.479166666666667,1,0.479166666666667,1
21,"rank",0.1,0.0384615384615385,1,0,1
21,"bhq",0.1,0,0,0,0.68
21,"dp",0.1,0,0.92,0,0.92
21,"rank",0.2,0.137931034482759,1,0.137931034482759,1
21,"bhq",0.2,0,0,0,0.72
21,"dp",0.2,0.0416666666666667,0.92,0,0.92
21,"rank",0.3,0.166666666666667,1,0.166666666666667,1
21,"bhq",0.3,0,0,0,0.76
21,"dp",0.3,0.206896551724138,0.92,0.178571428571429,0.92
22,"rank",0.1,0.305555555555556,1,0.285714285714286,1
22,"bhq",0.1,0,0,0.04,0.96
22,"dp",0.1,0.0833333333333333,0.88,0.0434782608695652,0.88
22,"rank",0.2,0.375,1,0.342105263157895,1
22,"bhq",0.2,0,0,0.137931034482759,1
22,"dp",0.2,0.178571428571429,0.92,0.185185185185185,0.88
22,"rank",0.3,0.5,1,0.418604651162791,1
22,"bhq",0.3,0,0,0.137931034482759,1
22,"dp",0.3,0.272727272727273,0.96,0.25,0.96
23,"rank",0.1,0.0833333333333333,0.88,0.0833333333333333,0.88
23,"bhq",0.1,0,0,0.0434782608695652,0.88
23,"dp",0.1,0.193548387096774,1,0.166666666666667,1
23,"rank",0.2,0.0833333333333333,0.88,0.0833333333333333,0.88
23,"bhq",0.2,0,0,0.04,0.96
23,"dp",0.2,0.264705882352941,1,0.21875,1
23,"rank",0.3,0.148148148148148,0.92,0.148148148148148,0.92
23,"bhq",0.3,0,0,0.04,0.96
23,"dp",0.3,0.375,1,0.342105263157895,1
24,"rank",0.1,0.166666666666667,1,0.166666666666667,1
24,"bhq",0.1,0,0,0,0.96
24,"dp",0.1,0.04,0.96,0.04,0.96
24,"rank",0.2,0.166666666666667,1,0.166666666666667,1
