"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"dp",0.1,0,0.92,0,0.92
1,"rank",0.1,0.148148148148148,0.92,0,0.88
1,"bhq",0.1,0,0,0.137931034482759,1
1,"dp",0.2,0.08,0.92,0,0.92
1,"rank",0.2,0.368421052631579,0.96,0.142857142857143,0.96
1,"bhq",0.2,0,0,0.21875,1
1,"dp",0.3,0.233333333333333,0.92,0.233333333333333,0.92
1,"rank",0.3,0.428571428571429,0.96,0.428571428571429,0.96
1,"bhq",0.3,0,0,0.285714285714286,1
2,"dp",0.1,0.21875,1,0.193548387096774,1
2,"rank",0.1,0.08,0.92,0.0416666666666667,0.92
2,"bhq",0.1,0,0,0,0.84
2,"dp",0.2,0.305555555555556,1,0.242424242424242,1
2,"rank",0.2,0.111111111111111,0.96,0.115384615384615,0.92
2,"bhq",0.2,0,0,0,0.88
2,"dp",0.3,0.468085106382979,1,0.468085106382979,1
2,"rank",0.3,0.111111111111111,0.96,0.111111111111111,0.96
2,"bhq",0.3,0,0,0,0.92
3,"dp",0.1,0.178571428571429,0.92,0.115384615384615,0.92
3,"rank",0.1,0.242424242424242,1,0.242424242424242,1
3,"bhq",0.1,0,0,0.04,0.96
3,"dp",0.2,0.294117647058824,0.96,0.294117647058824,0.96
3,"rank",0.2,0.305555555555556,1,0.264705882352941,1
3,"bhq",0.2,0,0,0.0384615384615385,1
3,"dp",0.3,0.428571428571429,0.96,0.428571428571429,0.96
3,"rank",0.3,0.375,1,0.375,1
3,"bhq",0.3,0,0,0.0740740740740741,1
4,"dp",0.1,0.115384615384615,0.92,0.115384615384615,0.92
4,"rank",0.1,0.130434782608696,0.8,0.0476190476190476,0.8
4,"bhq",0.1,0,0,0,0.8
4,"dp",0.2,0.233333333333333,0.92,0.148148148148148,0.92
4,"rank",0.2,0.361111111111111,0.92,0.342857142857143,0.92
4,"bhq",0.2,0,0,0,0.88
4,"dp",0.3,0.258064516129032,0.92,0.258064516129032,0.92
4,"rank",0.3,0.488888888888889,0.92,0.488888888888889,0.92
4,"bhq",0.3,0,0,0.0434782608695652,0.88
5,"dp",0.1,0,0.72,0,0.72
5,"rank",0.1,0.25,0.96,0.25,0.96
5,"bhq",0.1,0,0,0,0.92
5,"dp",0.2,0.142857142857143,0.96,0.111111111111111,0.96
5,"rank",0.2,0.272727272727273,0.96,0.272727272727273,0.96
5,"bhq",0.2,0,0,0,0.96
5,"dp",0.3,0.4,0.96,0.4,0.96
5,"rank",0.3,0.466666666666667,0.96,0.454545454545455,0.96
5,"bhq",0.3,0,0,0.04,0.96
6,"dp",0.1,0.08,0.92,0.08,0.92
6,"rank",0.1,0.166666666666667,1,0.04,0.96
6,"bhq",0.1,0,0,0,0.96
6,"dp",0.2,0.148148148148148,0.92,0.148148148148148,0.92
6,"rank",0.2,0.264705882352941,1,0.166666666666667,1
6,"bhq",0.2,0,0,0,0.96
6,"dp",0.3,0.368421052631579,0.96,0.368421052631579,0.96
6,"rank",0.3,0.390243902439024,1,0.264705882352941,1
6,"bhq",0.3,0,0,0,0.96
7,"dp",0.1,0.111111111111111,0.96,0.111111111111111,0.96
7,"rank",0.1,0.0769230769230769,0.96,0.0416666666666667,0.92
7,"bhq",0.1,0,0,0,0.96
7,"dp",0.2,0.2,0.96,0.172413793103448,0.96
7,"rank",0.2,0.0769230769230769,0.96,0.0769230769230769,0.96
7,"bhq",0.2,0,0,0,1
7,"dp",0.3,0.2,0.96,0.2,0.96
7,"rank",0.3,0.0769230769230769,0.96,0.0769230769230769,0.96
7,"bhq",0.3,0,0,0,1
8,"dp",0.1,0.264705882352941,1,0.193548387096774,1
8,"rank",0.1,0.285714285714286,1,0.242424242424242,1
8,"bhq",0.1,0,0,0,0.96
8,"dp",0.2,0.285714285714286,1,0.285714285714286,1
8,"rank",0.2,0.358974358974359,1,0.358974358974359,1
8,"bhq",0.2,0,0,0,0.96
8,"dp",0.3,0.342105263157895,1,0.342105263157895,1
8,"rank",0.3,0.431818181818182,1,0.418604651162791,1
8,"bhq",0.3,0,0,0,0.96
9,"dp",0.1,0,0.88,0,0.88
9,"rank",0.1,0.303030303030303,0.92,0.28125,0.92
9,"bhq",0.1,0,0,0.04,0.96
9,"dp",0.2,0.185185185185185,0.88,0.185185185185185,0.88
9,"rank",0.2,0.323529411764706,0.92,0.303030303030303,0.92
9,"bhq",0.2,0,0,0.111111111111111,0.96
9,"dp",0.3,0.214285714285714,0.88,0.214285714285714,0.88
9,"rank",0.3,0.394736842105263,0.92,0.394736842105263,0.92
9,"bhq",0.3,0,0,0.2,0.96
10,"dp",0.1,0.324324324324324,1,0.285714285714286,1
10,"rank",0.1,0.193548387096774,1,0.2,0.96
10,"bhq",0.1,0,0,0,0.96
10,"dp",0.2,0.431818181818182,1,0.375,1
10,"rank",0.2,0.285714285714286,1,0.285714285714286,1
10,"bhq",0.2,0,0,0.0384615384615385,1
10,"dp",0.3,0.479166666666667,1,0.468085106382979,1
10,"rank",0.3,0.375,1,0.375,1
10,"bhq",0.3,0,0,0.0384615384615385,1
11,"dp",0.1,0.225806451612903,0.96,0.142857142857143,0.96
11,"rank",0.1,0.294117647058824,0.96,0.294117647058824,0.96
11,"bhq",0.1,0,0,0.107142857142857,1
11,"dp",0.2,0.466666666666667,0.96,0.466666666666667,0.96
11,"rank",0.2,0.342105263157895,1,0.294117647058824,0.96
11,"bhq",0.2,0,0,0.107142857142857,1
11,"dp",0.3,0.555555555555556,0.96,0.48936170212766,0.96
11,"rank",0.3,0.456521739130435,1,0.431818181818182,1
11,"bhq",0.3,0,0,0.21875,1
12,"dp",0.1,0.172413793103448,0.96,0.111111111111111,0.96
12,"rank",0.1,0.0769230769230769,0.96,0.0769230769230769,0.96
12,"bhq",0.1,0,0,0.04,0.96
12,"dp",0.2,0.351351351351351,0.96,0.333333333333333,0.96
12,"rank",0.2,0.0769230769230769,0.96,0.0769230769230769,0.96
12,"bhq",0.2,0,0,0.0384615384615385,1
12,"dp",0.3,0.368421052631579,0.96,0.368421052631579,0.96
