"Method","Q_Value","p","fdr","power"
"BHq",0.1,140,0.00335952380952381,0.8576
"DP",0.1,140,0.111735236900418,0.9644
"DP+",0.1,140,0.0883881881076379,0.9596
"Rank",0.1,140,0.149066503171987,0.9668
"Rank+",0.1,140,0.113604898425307,0.96
"BHq",0.2,140,0.00671411551411551,0.9096
"DP",0.2,140,0.226563750266711,0.9784
"DP+",0.2,140,0.195765408015415,0.9744
"Rank",0.2,140,0.239396906810593,0.9808
"Rank+",0.2,140,0.2132424011648,0.9796
"BHq",0.3,140,0.0112281496281496,0.938
"DP",0.3,140,0.318587757063207,0.9848
"DP+",0.3,140,0.294791750923087,0.9832
"Rank",0.3,140,0.333142837699147,0.984
"Rank+",0.3,140,0.309204021914746,0.9824
