"Method","Q_Value","p","fdr","power"
"BHq",0.1,300,0.0268010582154885,0.8924
"DP",0.1,300,0.129399842553296,0.9496
"DP+",0.1,300,0.0997431116454215,0.9408
"Rank",0.1,300,0.163756879020858,0.9528
"Rank+",0.1,300,0.122887410045042,0.942
"BHq",0.2,300,0.0422439231189231,0.9232
"DP",0.2,300,0.222505884989045,0.9612
"DP+",0.2,300,0.198697348426838,0.9588
"Rank",0.2,300,0.264102560294951,0.9676
"Rank+",0.2,300,0.230201998595021,0.964
"BHq",0.3,300,0.0580834944028058,0.9408
"DP",0.3,300,0.327961421347498,0.9692
"DP+",0.3,300,0.302879269476003,0.9672
"Rank",0.3,300,0.341640798592573,0.9752
"Rank+",0.3,300,0.322525494941133,0.9736
