"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
1,"dp",0.1,0.242424242424242,1,0.193548387096774,1
1,"rank",0.1,0.264705882352941,1,0.264705882352941,1
1,"bhq",0.1,0,0,0,0.72
1,"dp",0.2,0.342105263157895,1,0.242424242424242,1
1,"rank",0.2,0.342105263157895,1,0.324324324324324,1
1,"bhq",0.2,0,0,0,0.84
1,"dp",0.3,0.444444444444444,1,0.444444444444444,1
1,"rank",0.3,0.431818181818182,1,0.404761904761905,1
1,"bhq",0.3,0,0,0,0.88
2,"dp",0.1,0.137931034482759,1,0.137931034482759,1
2,"rank",0.1,0.192307692307692,0.84,0.192307692307692,0.84
2,"bhq",0.1,0,0,0,0.88
2,"dp",0.2,0.305555555555556,1,0.305555555555556,1
2,"rank",0.2,0.241379310344828,0.88,0.241379310344828,0.88
2,"bhq",0.2,0,0,0.0416666666666667,0.92
2,"dp",0.3,0.431818181818182,1,0.431818181818182,1
2,"rank",0.3,0.378378378378378,0.92,0.323529411764706,0.92
2,"bhq",0.3,0,0,0.107142857142857,1
3,"dp",0.1,0.115384615384615,0.92,0.115384615384615,0.92
3,"rank",0.1,0.148148148148148,0.92,0.0416666666666667,0.92
3,"bhq",0.1,0,0,0,0.72
3,"dp",0.2,0.28125,0.92,0.178571428571429,0.92
3,"rank",0.2,0.428571428571429,0.96,0.148148148148148,0.92
3,"bhq",0.2,0,0,0,0.72
3,"dp",0.3,0.333333333333333,0.96,0.314285714285714,0.96
3,"rank",0.3,0.444444444444444,1,0.444444444444444,1
3,"bhq",0.3,0,0,0,0.84
4,"dp",0.1,0.107142857142857,1,0.0740740740740741,1
4,"rank",0.1,0.107142857142857,1,0.0740740740740741,1
4,"bhq",0.1,0,0,0,0.68
4,"dp",0.2,0.285714285714286,1,0.21875,1
4,"rank",0.2,0.107142857142857,1,0.107142857142857,1
4,"bhq",0.2,0,0,0,0.8
4,"dp",0.3,0.444444444444444,1,0.431818181818182,1
4,"rank",0.3,0.264705882352941,1,0.264705882352941,1
4,"bhq",0.3,0,0,0,0.84
5,"dp",0.1,0.272727272727273,0.96,0.25,0.96
5,"rank",0.1,0.166666666666667,1,0.111111111111111,0.96
5,"bhq",0.1,0,0,0,0.92
5,"dp",0.2,0.375,1,0.285714285714286,1
5,"rank",0.2,0.285714285714286,1,0.264705882352941,1
5,"bhq",0.2,0,0,0,1
5,"dp",0.3,0.390243902439024,1,0.390243902439024,1
5,"rank",0.3,0.342105263157895,1,0.305555555555556,1
5,"bhq",0.3,0,0,0,1
6,"dp",0.1,0.172413793103448,0.96,0.172413793103448,0.96
6,"rank",0.1,0,1,0,1
6,"bhq",0.1,0,0,0,0.92
6,"dp",0.2,0.272727272727273,0.96,0.25,0.96
6,"rank",0.2,0.0740740740740741,1,0.0740740740740741,1
6,"bhq",0.2,0,0,0,0.92
6,"dp",0.3,0.294117647058824,0.96,0.272727272727273,0.96
6,"rank",0.3,0.166666666666667,1,0.107142857142857,1
