"Method","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power"
"BHq",140,0.00335952380952381,0.8576,180,0.00822008669810395,0.8712,220,0.013031365696883,0.8812,260,0.0144965296606492,0.912,300,0.0268010582154885,0.8924
"Rank",140,0.149066503171987,0.9668,180,0.163387471898627,0.964,220,0.157733287374031,0.9632,260,0.14726366640723,0.958,300,0.163756879020858,0.9528
"Rank+",140,0.113604898425307,0.96,180,0.124853439085926,0.9548,220,0.113495878658537,0.956,260,0.116584612873435,0.9484,300,0.122887410045042,0.942
"DP",140,0.111735236900418,0.9644,180,0.126070973327228,0.9592,220,0.137451069682742,0.9596,260,0.12869529916702,0.9508,300,0.129399842553296,0.9496
"DP+",140,0.0883881881076379,0.9596,180,0.0928189376737856,0.9508,220,0.103460967196102,0.9484,260,0.0899045674369059,0.9436,300,0.0997431116454215,0.9408
