"Method","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power","p","fdr","power"
"BHq",140,0.0112281496281496,0.938,180,0.0206428725916998,0.9436,220,0.0306898747899335,0.9408,260,0.0393218184962149,0.9564,300,0.0580834944028058,0.9408
"Rank",140,0.333142837699147,0.984,180,0.363643572920313,0.9804,220,0.354730074566742,0.9808,260,0.338766712276926,0.9792,300,0.341640798592573,0.9752
"Rank+",140,0.309204021914746,0.9824,180,0.345540397763946,0.98,220,0.330597921631763,0.9784,260,0.320932393924659,0.978,300,0.322525494941133,0.9736
"DP",140,0.318587757063207,0.9848,180,0.324388886632872,0.9788,220,0.342708138242623,0.9816,260,0.325306909558882,0.9704,300,0.327961421347498,0.9692
"DP+",140,0.294791750923087,0.9832,180,0.297734044662893,0.9768,220,0.31390145970968,0.9792,260,0.306009036375945,0.9692,300,0.302879269476003,0.9672
