"Iteration","Method","Q_Value","FDP","TDP","FDP_Plus","TDP_Plus"
6,"rank",0.2,0.136363636363636,0.76,0.136363636363636,0.76
6,"bhq",0.2,0,0,0.05,0.76
6,"dp",0.3,0.25,0.96,0.225806451612903,0.96
6,"rank",0.3,0.290322580645161,0.88,0.214285714285714,0.88
6,"bhq",0.3,0,0,0.05,0.76
7,"dp",0.1,0.0434782608695652,0.88,0.0476190476190476,0.8
7,"rank",0.1,0.153846153846154,0.88,0,0.84
7,"bhq",0.1,0,0,0,0.64
7,"dp",0.2,0.111111111111111,0.96,0.0434782608695652,0.88
7,"rank",0.2,0.28125,0.92,0.266666666666667,0.88
7,"bhq",0.2,0,0,0,0.64
7,"dp",0.3,0.142857142857143,0.96,0.142857142857143,0.96
7,"rank",0.3,0.378378378378378,0.92,0.323529411764706,0.92
7,"bhq",0.3,0,0,0,0.68
8,"dp",0.1,0.0769230769230769,0.96,0.0769230769230769,0.96
8,"rank",0.1,0.272727272727273,0.96,0.142857142857143,0.96
8,"bhq",0.1,0,0,0,0.48
8,"dp",0.2,0.2,0.96,0.0769230769230769,0.96
8,"rank",0.2,0.324324324324324,1,0.314285714285714,0.96
8,"bhq",0.2,0,0,0,0.48
8,"dp",0.3,0.285714285714286,1,0.285714285714286,1
8,"rank",0.3,0.390243902439024,1,0.390243902439024,1
8,"bhq",0.3,0,0,0,0.52
9,"dp",0.1,0.16,0.84,0.16,0.84
9,"rank",0.1,0.2,0.96,0.148148148148148,0.92
9,"bhq",0.1,0,0,0.285714285714286,1
9,"dp",0.2,0.16,0.84,0.16,0.84
9,"rank",0.2,0.351351351351351,0.96,0.294117647058824,0.96
9,"bhq",0.2,0,0,0.324324324324324,1
9,"dp",0.3,0.241379310344828,0.88,0.241379310344828,0.88
9,"rank",0.3,0.454545454545455,0.96,0.4,0.96
9,"bhq",0.3,0,0,0.390243902439024,1
10,"dp",0.1,0,0.92,0,0.92
10,"rank",0.1,0.178571428571429,0.92,0.148148148148148,0.92
10,"bhq",0.1,0,0,0,0.92
10,"dp",0.2,0.08,0.92,0,0.92
10,"rank",0.2,0.394736842105263,0.92,0.323529411764706,0.92
10,"bhq",0.2,0,0,0,0.96
10,"dp",0.3,0.148148148148148,0.92,0.08,0.92
