"Method","Q_Value","p","fdr","power"
"BHq",0.1,600,0.0806258161552598,0.8316
"DP",0.1,600,0.131583979428441,0.8688
"DP+",0.1,600,0.0985375507465238,0.8452
"Rank",0.1,600,0.174272926032289,0.8984
"Rank+",0.1,600,0.127319168235921,0.8724
"BHq",0.2,600,0.105483650397642,0.8584
"DP",0.2,600,0.231086089254985,0.898
"DP+",0.2,600,0.196967399308864,0.8876
"Rank",0.2,600,0.266204476265307,0.9252
"Rank+",0.2,600,0.241310976120673,0.9196
"BHq",0.3,600,0.129781223204369,0.8792
"DP",0.3,600,0.327806672156322,0.9212
"DP+",0.3,600,0.29092226695723,0.9112
"Rank",0.3,600,0.351108128576401,0.9416
"Rank+",0.3,600,0.326664076502707,0.938
