"Method","Q_Value","p","fdr","power"
"BHq",0.1,500,0.0431189926172602,0.848
"DP",0.1,500,0.140580916288168,0.888
"DP+",0.1,500,0.0997407816168389,0.8608
"Rank",0.1,500,0.189258440627425,0.9152
"Rank+",0.1,500,0.147820664752403,0.9016
"BHq",0.2,500,0.0652724005598834,0.8824
"DP",0.2,500,0.230970476439181,0.9136
"DP+",0.2,500,0.199904966747685,0.9052
"Rank",0.2,500,0.2866294511792,0.9376
"Rank+",0.2,500,0.259136367534611,0.9324
"BHq",0.3,500,0.0904533090580303,0.9012
"DP",0.3,500,0.324371643667424,0.9332
"DP+",0.3,500,0.300653293521498,0.9316
"Rank",0.3,500,0.369445115547416,0.9524
"Rank+",0.3,500,0.346847036513638,0.9476
