"Method","Q_Value","p","fdr","power"
"BHq",0.1,400,0.0288464605199445,0.8128
"DP",0.1,400,0.131986824210498,0.9184
"DP+",0.1,400,0.0927887191721415,0.9
"Rank",0.1,400,0.155832405996412,0.9256
"Rank+",0.1,400,0.116473297535129,0.9076
"BHq",0.2,400,0.0449700704285068,0.8536
"DP",0.2,400,0.230332839338471,0.9444
"DP+",0.2,400,0.200024616132059,0.9372
"Rank",0.2,400,0.251765459846956,0.9484
"Rank+",0.2,400,0.223796960181554,0.9432
"BHq",0.3,400,0.0580194980876025,0.882
"DP",0.3,400,0.322332813650715,0.954
"DP+",0.3,400,0.297603712314183,0.9516
"Rank",0.3,400,0.346367085208731,0.9624
"Rank+",0.3,400,0.322959408540562,0.9612
